Department,Test Name,Story‑telling (Arabic),Story‑telling (English)
Clinical Chemistry – Liver Function,A / G Ratio,"تخيل أن بروتينات الدم في جسمك مجموعتان رئيسيتان من العمال الأساسيين في مجلس سعودي مزدحم: مجموعة الألبومين، المسؤولة عن أداء العديد من المهام اليومية والحفاظ على سير الأمور بسلاسة، ومجموعة الجلوبيولين، التي تشمل عمالًا متخصصين للدفاع والنقل. نسبة الألبومين/ الجلوبيولين تشبه التحقق من التوازن بين هاتين المجموعتين المهمتين – ""المنفذين"" مقابل ""المتخصصين"". قد تشير النسبة غير المتوازنة إلى مشاكل في الكبد أو الكلى أو حتى نظام الدفاع في جسمك. يساعد هذا الفحص الأطباء على فهم صحة ووظيفة قوة العمل البروتينية في جسمك.","Think of your body’s blood proteins as two main groups of essential workers in a busy Saudi majlis: the Albumin group, responsible for carrying out many daily tasks and keeping things flowing smoothly, and the Globulin group, which includes specialized workers for defense and transport. The A / G Ratio is like checking the balance between these two important groups – the ""doers"" versus the ""specialists."" An imbalanced ratio might suggest issues with your liver, kidneys, or even your body's defense system. This test helps doctors understand the health and function of your protein workforce."
Clinical Chemistry – Liver Function,ALP (Alkaline Phosphatase),"تخيل عظامك كبيوت طينية تقليدية، يتم بناؤها وإصلاحها باستمرار. الاي ال بي يشبه أداة متخصصة أو إنزيماً حاسماً لتشكيل وتقوية هذه الطوب عند إضافة أقسام جديدة أو إصلاح القديمة. يقيس فحص الاي ال بي (Alkaline Phosphatase) مستوى هذه ""الأداة"" في دمك. المستويات المرتفعة قد تشير إلى زيادة نشاط البناء في عظامك، ربما بسبب النمو أو الإصلاح، أو أحيانًا مشاكل في كبدك، الذي يستخدم هذه الأداة أيضًا. يساعد هذا الفحص الأطباء على التحقق من صحة عظامك ووظائف كبدك.","Imagine your body's bones are like traditional mud-brick homes, constantly being built and repaired. ALP is like a specialized tool or enzyme crucial for shaping and strengthening these bricks as new sections are added or old ones are mended. The ALP (Alkaline Phosphatase) test measures the level of this ""tool"" in your blood. High levels can suggest increased building activity in your bones, perhaps from growth or repair, or sometimes issues with your liver, which also uses this tool. This test helps doctors check on your bone health and liver function."
Clinical Chemistry – Liver Function,ALT (Alanine Aminotransferase),"تخيل كبدك كمطبخ مركزي لجسمك، مسؤول عن معالجة الطعام، وصنع مواد مهمة، وتنظيف النفايات. الامينو تراتزفيريز يشبه إنزيماً خاصاً، أو ""مساعد مطبخ""، يبقى عادة داخل خلايا الكبد، ويساعدها على أداء عملها. إذا تضررت خلايا الكبد هذه، ربما بسبب مرض أو بعض الأدوية، فإن ""مساعد المطبخ"" هذا يتسرب إلى مجرى الدم. يساعد قياس الامينو تراتزفيريز الأطباء على رؤية ما إذا كان هناك ضرر في كبدك بسرعة، مما يعطيهم إشارة مبكرة إذا كان ""مطبخ"" جسمك يحتاج إلى اهتمام.","Think of your liver as the central kitchen of your body, responsible for processing food, making important substances, and cleaning up waste. ALT (Alanine Aminotransferase) is like a special enzyme, or a ""kitchen helper,"" that usually stays inside the liver cells, helping them do their work. If these liver cells get damaged, perhaps from a sickness or certain medicines, this ""kitchen helper"" leaks out into your bloodstream. Measuring ALT helps doctors quickly see if there's damage to your liver, giving them an early sign if your body's kitchen needs attention."
Clinical Chemistry – Liver Function,AST (Aspartate Aminotransferase),"تخيل قلبك وكبدك كورشَتي عمل حيويتين في جسمك، وكلتيهما تحتاجان إلى أدوات محددة للعمل. الاسباراتيت امينو ترانزفيريز هو إنزيم، ""أداة ورشة عمل""، موجود في العديد من الخلايا، وبوفرة خاصة في خلايا القلب والكبد. إذا تضررت ورش العمل هذه، ربما بسبب الإجهاد أو الإصابة، يمكن أن تتسرب هذه الأداة إلى دمك. يقيس فحص الاسباراتيت امينو ترانزفيريز هذا التسرب. بينما يساعد في اكتشاف مشاكل الكبد، يمكن أن يشير أيضًا إلى تلف في قلبك أو عضلات أخرى. يستخدم الأطباء هذا الفحص كمؤشر عام لتلف الخلايا داخل هذه ""الورش الحيوية"".","Imagine your heart and liver are like two crucial workshops in your body, both needing specific tools to operate. AST (Aspartate Aminotransferase) is an enzyme, a ""workshop tool,"" found in many cells, especially abundant in heart and liver cells. If these workshops are damaged, perhaps by stress or injury, this tool can leak into your blood. The AST test measures this leakage. While it helps spot liver issues, it can also point to damage in your heart or other muscles. Doctors use this test as a general indicator of cell damage within these vital ""workshops."""
Clinical Chemistry – Liver Function,Albumin,"تخيل دمك كنهر واسع متدفق، والألبومين يشبه قاع النهر المجتهد الذي يساعد في الحفاظ على مستوى الماء مضبوطًا وينقل العناصر الغذائية والفضلات المهمة في جميع أنحائه. إنه بروتين رئيسي يعمل كناقل نشط ويساعد في الحفاظ على توازن السوائل. يقيس فحص والألبومين كمية بروتين ""قاع النهر"" الأساسي هذا في دمك. إذا كانت المستويات منخفضة، فكأن قاع النهر ضعيف، مما قد يتسبب في تسرب الماء (السوائل) إلى حيث لا ينبغي، أو يجعل نقل البضائع الحيوية أكثر صعوبة. يساعد هذا الفحص الأطباء على تقييم صحة كبدك وتغذيتك.","Think of your blood as a wide, flowing river, and albumin is like the diligent riverbed that helps keep the water level just right and carries important nutrients and waste throughout. It's a key protein that acts like a busy transporter and helps maintain fluid balance. The Albumin test measures the amount of this essential ""riverbed"" protein in your blood. If levels are low, it's like the riverbed is weak, potentially causing water (fluid) to leak out where it shouldn't, or making it harder to transport vital goods. This test helps doctors assess your liver health and nutrition."
Clinical Chemistry – Liver Function,Direct Bilirubin,"تخيل كبدك كمحطة معالجة نفايات متطورة، خاصة لخلايا الدم الحمراء القديمة والمستهلكة. عندما تتحلل هذه الخلايا، فإنها تنتج مادة صفراء تسمى البيليروبين. ثم يقوم الكبد بمعالجة هذه النفايات لتحضيرها للإزالة من الجسم، مما يجعلها ""مباشرة"" أو جاهزة للتخلص منها. يقيس فحص البيليروبين المباشر كمية هذه النفايات الصفراء المُعالجة في دمك. المستويات المرتفعة غالبًا ما تعني وجود مشكلة في قدرة كبدك على معالجة هذه النفايات وتخليصها بفعالية، كوجود انسداد في نظام التخلص من النفايات في المحطة.","Imagine your liver is like a sophisticated waste processing plant, especially for old, worn-out red blood cells. When these cells break down, they create a yellow waste product called bilirubin. The liver then processes this waste to prepare it for removal from the body, making it ""direct"" or ready for disposal. The Direct Bilirubin test measures how much of this processed yellow waste is in your blood. High levels often mean there's a problem with your liver's ability to effectively process and clear this waste, like a clog in the plant's disposal system."
Clinical Chemistry – Liver Function,GGT (Gamma‑Glutamyl Transferase),تخيل كبدك كفلتر حساس للغاية لجسمك، مثل الفلتر الدقيق في دلّة القهوة العربية التقليدية. القاما قلوتامايل ترانزفيريز هو إنزيم، يشبه مؤشرًا كيميائيًا خاصًا، يتواجد غالبًا داخل الخلايا المبطنة لفلاتر الكبد هذه. إذا تعرضت فلاتر الكبد هذه للتهيج أو التلف، خاصة بسبب الكحول أو بعض الأدوية، فقد يتسرب مؤشر القاما قلوتامايل ترانزفيريز هذا إلى دمك. يشير مستوى هذا الانزيم المرتفع كعلامة تحذير مبكرة للأطباء بأن فلاتر كبدك الدقيقة قد تواجه بعض الإجهاد أو الانسداد.,"Imagine your liver is a highly sensitive filter for your body, like the delicate filter on a traditional Arabic coffee pot (dallah). GGT (Gamma-Glutamyl Transferase) is an enzyme, a bit like a special chemical indicator, that is mostly found inside the cells lining these liver filters. If these liver filters get irritated or damaged, especially due to alcohol or certain medications, this GGT indicator can leak out into your blood. A high GGT level acts as an early warning sign to doctors that your liver's delicate filters might be facing some stress or blockage."
Clinical Chemistry – Liver Function,Globulin,"تخيل نظام الدفاع في دمك كفريق من حراس الأمن المتخصصين يحمون كنزًا ثمينًا. القلوبيولين يشبه مجموعة من حراس الأمن المتعددي المهام هؤلاء، لكل منهم أدوار محددة – بعضهم يحارب الغزاة مثل الفيروسات، بينما يساعد آخرون في نقل المواد الهامة. يقيس فحص القلوبيولين العدد الإجمالي لهؤلاء ""الحراس الأمنيين"" المتنوعين في دمك. قد يشير المستوى غير المعتاد إلى أن جسمك يحارب عدوى، أو يتعامل مع مرض طويل الأمد، أو يعاني من مشاكل في نظام دفاعه. يساعد هذا هذا الأطباء على فهم استجابة جسمك المناعية وصحته العامة.","Think of your blood's defense system as a team of specialized security guards protecting a valuable treasure. Globulin is like a group of these versatile security guards, each with specific roles – some fight off invaders like viruses, while others help transport important substances. The Globulin test measures the total number of these various ""security guards"" in your blood. An unusual level might suggest your body is fighting an infection, dealing with a long-term illness, or having issues with its defense system. This helps doctors understand your body's immune response and overall health."
Clinical Chemistry – Liver Function,Indirect Bilirubin,تخيل نظام التخلص من النفايات في جسمك. عندما تتحلل خلايا الدم الحمراء القديمة، فإنها تنتج نفايات صفراء خام وغير معالجة تسمى البيليروبين. ثم يحتاج كبدك إلى معالجة هذه النفايات. يقيس فحص البيليروبين الغير معالج كمية هذه النفايات الصفراء غير المعالجة في دمك، قبل أن يقوم كبدك بإعدادها بالكامل للإزالة. تشير المستويات المرتفعة إلى أن جسمك ينتج الكثير من هذه النفايات الخام، ربما من تحلل عالٍ لخلايا الدم الحمراء، أو أن كبدك يكافح للتعامل مع خطوة المعالجة الأولية، تمامًا كمصنع إعادة تدوير مزدحم غارق بالمواد الخام.,"Imagine your body's waste disposal system. When old red blood cells break down, they create a raw, unprocessed yellow waste called bilirubin. Your liver then needs to process this waste. Indirect Bilirubin measures the amount of this unprocessed yellow waste in your blood, before your liver has fully prepared it for removal. High levels suggest your body is producing too much of this raw waste, perhaps from a high breakdown of red blood cells, or that your liver is struggling to handle the initial processing step, much like a busy recycling plant overwhelmed by raw materials."
Clinical Chemistry – Liver Function,Total Bilirubin,تخيل كبدك كمحطة معالجة متطورة تتعامل مع جميع المنتجات الثانوية من خلايا الدم الحمراء البالية، والتي تتحول إلى نفايات صفراء تسمى البيليروبين. يقيس فحص البيليروبين الاجمالي الكمية الإجمالية لهذه النفايات الصفراء في دمك – سواء النوع الخام غير المعالج أو النوع الذي أعده كبدك بالفعل للتخلص منه. إنه مثل التحقق من الكمية الإجمالية للنفايات التي تنتظر التخلص منها من المصنع. يمكن أن يكون ارتفاع البيليروبين الكلي علامة على أن كبدك لا يعمل بكفاءة، أو أن عددًا كبيرًا جدًا من خلايا الدم الحمراء يتحلل، مما يسبب تراكمًا.,"Think of your liver as a sophisticated processing plant that handles all the byproducts from worn-out red blood cells, which turn into a yellow waste called bilirubin. The Total Bilirubin test measures the total amount of this yellow waste in your blood – both the raw, unprocessed type and the type your liver has already prepared for disposal. It’s like checking the overall amount of waste waiting to be cleared from the plant. High total bilirubin can be a sign that your liver isn't working efficiently, or that too many red blood cells are breaking down, causing a buildup."
Clinical Chemistry – Liver Function,Total Protein,تخيل جسمك مبنىً كبيرًا ومنظمًا جيدًا. البروتينات تشبه الطوب الأساسي والإسمنت والأسلاك الكهربائية التي تشكل بنيته الأساسية وتسمح لجميع أنظمته بالعمل. يقيس فحص البروتين الكلي الكمية الإجمالية لهذه اللبنات الأساسية في دمك. إنه مثل جرد جميع مواد البناء الرئيسية والمكونات الوظيفية في المبنى الخاص بك. يمكن أن تشير المستويات المنخفضة أو المرتفعة إلى مشاكل في تغذيتك أو كبدك أو كليتيك، حيث أن هذه الأعضاء حيوية في تصنيع وإدارة إمدادات البروتين في جسمك.,"Imagine your body is a large, well-structured building. Proteins are like the essential bricks, cement, and electrical wiring that make up its very structure and allow all its systems to function. The Total Protein test measures the overall amount of these crucial building blocks in your blood. It’s like taking an inventory of all the main construction materials and functional components in your building. Low or high levels can suggest issues with your nutrition, liver, or kidneys, as these organs are vital in making and managing your body’s protein supplies."
Clinical Chemistry – Renal Function,BUN / Creatinine Ratio,تخيل كليتيك كفريق من الحرفيين المهرة الذين يقومون بفلترة وتصفية السوائل بدقة، واليوريا النيتروجينية والكرياتينين هما نوعان مختلفان من النفايات التي يتعاملون معها. نسبة اليوريا النيتروجينية الى الكرياتينين  تشبه التحقق من مدى جودة أداء هؤلاء الحرفيين لمهمتيهم الرئيسيتين، وما إذا كان أحد أنواع النفايات يتراكم أسرع من الآخر. تساعد هذه النسبة الأطباء على فهم سبب عدم عمل فلاتر كليتيك بشكل مثالي، مشيرة إلى مشاكل مثل الجفاف أو مشاكل في تدفق الدم إلى الكلى، مما يرشدهم نحو السبب الجذري.,"Imagine your kidneys are like a skilled team of artisans meticulously crafting and filtering liquids, and urea nitrogen (BUN) and creatinine are two different types of waste products they handle. The BUN / Creatinine Ratio is like checking how well these artisans are performing their two main tasks, and if one type of waste is building up faster than the other. This ratio helps doctors understand why your kidney filters might not be working perfectly, pointing to issues like dehydration or problems with blood flow to the kidneys, guiding them towards the root cause."
Clinical Chemistry – Renal Function,Blood Urea Nitrogen (BUN),"تخيل استخدام جسمك للطاقة كحرق الحطب في خيمة صحراوية تقليدية للدفء. عندما يستخدم جسمك البروتينات للحصول على الطاقة، فإنه ينتج مادة نفايات تسمى يوريا نيتروجينية، تشبه الرماد الناتج عن النار. كليتيك مثل الكناسين المجتهدين الذين يزيلون هذا ""الرماد"" من دمك. يقيس فحص اليوريا النيتروجينية بالدم كمية هذا الرماد المتراكم. يشير المستوى المرتفع إلى أن كناسي كليتيك قد يكافحون لإزالته بكفاءة، أو ربما أنك تنتج الكثير من الرماد، مما يشير إلى مشكلة محتملة في الكلى أو الجفاف.","Think of your body's energy use like burning firewood in a traditional desert tent for warmth. When your body uses proteins for energy, it creates a waste product called urea nitrogen, much like ash from the fire. Your kidneys are like the diligent sweepers who clear away this ""ash"" from your blood. The Blood Urea Nitrogen (BUN) test measures how much of this ash has accumulated. A high level suggests your kidney sweepers might be struggling to clear it away efficiently, or perhaps you're producing too much ash, indicating a potential kidney issue or dehydration."
Clinical Chemistry – Renal Function,Cystatin C,تخيل كليتيك كفلتر ماء عالي الكفاءة في واحة صحراوية، يعمل باستمرار للحفاظ على الماء نظيفًا ونقيًا. السيستاتين سي هو بروتين صغير ينتج باستمرار من جميع خلايا جسمك ويُزال فقط من دمك بواسطة فلاتر الكلى هذه. لذلك، إذا لم يعمل فلتر كليتيك بالكفاءة المطلوبة، فسيتراكم هذا البروتين في دمك. يقيس فحص السيستاتين سي هذا التراكم مباشرة. إنها طريقة دقيقة جدًا للأطباء للتحقق من مدى جودة أداء فلاتر كليتيك لوظيفتها، مما يساعد على اكتشاف مشاكل الكلى مبكرًا.,"Imagine your kidneys are like a highly efficient water filter in a desert oasis, constantly working to keep the water clean and pure. Cystatin C is a small protein that's produced steadily by all cells in your body and is only removed from your blood by these kidney filters. So, if your kidney filter isn't working as well as it should, this protein will build up in your blood. The Cystatin C test directly measures this buildup. It's a very precise way for doctors to check how well your kidney filters are actually doing their job, helping to detect kidney problems early."
Clinical Chemistry – Renal Function,Serum Creatinine,"تخيل عضلاتك كجمال قوية ومجتهدة، تتحرك وتحمل الأحمال باستمرار. أثناء عملها، تنتج بشكل طبيعي كمية ثابتة من مادة نفايات تسمى الكرياتينين. كليتيك مثل مقدمي رعاية متخصصين يجمعون ويزيلون ""فضلات الجمال"" هذه من دمك. يقيس فحص الكرياتينين السيروم كمية هذه النفايات الموجودة حاليًا في دمك. إذا كان المستوى مرتفعًا، فهذا يعني أن مقدمي رعاية كليتيك لا يزيلون النفايات بفعالية، مما يشير إلى أن فلاتر كليتيك قد لا تعمل بكفاءة كما ينبغي. يساعد هذا في تقييم وظائف الكلى.","Think of your muscles as powerful, hardworking camels, constantly moving and carrying loads. As they work, they naturally produce a steady amount of a waste product called creatinine. Your kidneys are like specialized caretakers who collect and remove this ""camel waste"" from your blood. The Serum Creatinine test measures how much of this waste is currently in your blood. If the level is high, it means your kidney caretakers aren't clearing the waste effectively, suggesting your kidney filters might not be working as efficiently as they should. This helps doctors assess kidney function."
Clinical Chemistry – Renal Function,Uric Acid,"تخيل جسمك كواحة صحراوية تعج بالحياة، ومن جميع الأنشطة والعمليات اليومية، تظهر منتجات نفايات طبيعية، تشبه بلورات الملح الصغيرة والحادة التي تتشكل على الأسطوح. تعمل كليتيك كحراس واحة مجتهدين، يجمعون باستمرار ويزيلون بلورات حمض اليوريك هذه من دمك للحفاظ على الواحة نظيفة وتتدفق بسلاسة. يقيس فحص حمض اليوريك كمية هذه البلورات الموجودة. إذا تراكم الكثير منها، فكأن حراس الواحة مرهقون، ويمكن أن تسبب هذه البلورات ألمًا في مفاصلك أو حتى تشكل حصوات في الكلى. يساعد هذا الفحص الأطباء على التأكد من بقاء ""واحة"" جسمك نقية وصحية.","Imagine your body is like a bustling desert oasis, and from all the daily activities and processes, a natural waste product appears, similar to tiny, sharp salt crystals forming on surfaces. Your kidneys act like diligent groundskeepers, constantly collecting and flushing away these Uric Acid crystals from your blood to keep the oasis clean and flowing smoothly. The Uric Acid test measures how many of these crystals are present. If too many build up, it's like the groundskeepers are overwhelmed, and these crystals can cause pain in your joints or even form kidney stones. This test helps doctors ensure your body's ""oasis"" remains clear and healthy."
Clinical Chemistry – Renal Function,eGFR (Estimated Glomerular Filtration Rate),تخيل كليتيك كمحطة تنقية المياه الرئيسية لجسمك بالكامل، تعمل باستمرار على تنظيف دمك. معدل الترشيح الكبيبي المقدر يشبه مقياساً لمدى كفاءة وسرعة عمل فلاتر هذه المحطة لإزالة النفايات. إنه يخبر الأطباء بالسرعة التقديرية التي تقوم بها كليتيك بتنظيف دمك. يعني انخفاض معدل الترشيح الكبيبي أن الفلاتر تتباطأ، مما قد يكون علامة مبكرة على مشاكل في الكلى. هذا الفحص بالغ الأهمية لمراقبة صحة كليتيك واكتشاف أي مشاكل قبل أن تتفاقم.,"Think of your kidneys as the main water purification plant for your entire body, constantly cleaning your blood. The GFR (Estimated Glomerular Filtration Rate) is like a measure of how efficiently and quickly this plant's filters are working to remove waste. It tells doctors the estimated speed at which your kidneys are cleaning your blood. A lower GFR means the filters are slowing down, which could be an early sign of kidney problems. This test is crucial for monitoring your kidney health and catching any issues before they become serious."
Cytology,Body Fluid Cytology,تخيل مساحات جسمك المليئة بالسوائل، مثل تلك الموجودة حول رئتيك أو قلبك، كآبار نقية يجب أن تحتوي فقط على ماء نقي وصافٍ. فحص خلايا سوائل الجسم يشبه أخذ عينة دقيقة من أحد هذه الآبار لفحص محتوياتها تحت عدسة مكبرة قوية. يبحث الأطباء عن أي خلايا غير عادية، علامات للعدوى، أو جزيئات غير مرغوب فيها لا ينبغي أن تكون موجودة. يساعد هذا الفحص الأطباء على فهم ما إذا كانت هناك مشكلة خفية، مثل عدوى أو نمو غير طبيعي، تؤثر على نقاء سوائل جسمك الداخلية الحيوية.,"Imagine your body's various fluid-filled spaces, like around your lungs or heart, are sacred wells that should contain only clear, pure water. Body Fluid Cytology is like taking a careful sample from one of these wells to examine its contents under a powerful magnifying glass. Doctors look for any unusual cells, signs of infection, or unwanted particles that shouldn't be there. This test helps them understand if there's any hidden trouble, like an infection or abnormal growth, affecting the purity of your body's vital internal fluids."
Cytology,Fine Needle Aspiration Cytology (FNAC),تخيل أنك وجدت كتلة صغيرة غير مفسرة، ربما مثل نتوء غير عادي على سطح إناء فخاري تقليدي. شفط الخلايا بالإبرة الدقيقة يشبه استخدام أداة دقيقة ورفيعة جدًا، كقشة صغيرة، لأخذ عينة صغيرة وآمنة من المادة مباشرة من داخل هذا النتوء. ثم يقوم الأطباء بفحص هذه الخلايا المجمعة تحت المجهر لفهم ماهيتها. يساعد هذا الفحص غير الجراحي في تحديد ما إذا كانت الكتلة حميدة أم تحتوي على خلايا غير طبيعية تحتاج إلى مزيد من الاهتمام، مما يوجه خطواتك التالية.,"Imagine you find a small, unexplained lump, perhaps like an unusual bump on the surface of a traditional clay pot. Fine Needle Aspiration Cytology (FNAC) is like using a very thin, precise tool, almost like a tiny straw, to carefully extract a tiny, safe sample of material directly from inside that bump. Doctors then examine these collected cells under a microscope to understand what they are. This non-surgical test helps determine quickly if the lump is harmless or if it contains abnormal cells that need further attention, guiding your next steps."
Cytology,Pap Smear (Cervical Cytology),بالنسبة للنساء، مسحة عنق الرحم (فحص الخلايا العنقية) هي فحص صحي حيوي، تمامًا كتفتيش دقيق لأساسات غرفة مهمة جدًا في منزلك. يقوم الطبيب بجمع عينة صغيرة من الخلايا بلطف من عنق الرحم، وهو مدخل الرحم. ثم يتم فحص هذه الخلايا تحت المجهر للعثور على أي تغييرات غير طبيعية مبكرًا جدًا. هذا الفحص البسيط مهم للغاية لأنه يساعد في تحديد المشاكل الصغيرة قبل أن تصبح خطيرة، مما يسمح باتخاذ إجراء سريع للحفاظ على صحة وقوة هذا الجزء من جسمك لسنوات قادمة.,"For women, a Pap Smear (Cervical Cytology) is a vital health check, like a careful inspection of the foundation of a very important room in your home. A doctor gently collects a small sample of cells from your cervix, which is at the entrance of your womb. These cells are then examined under a microscope to find any unusual changes very early. This simple test is crucial because it helps identify tiny issues before they become serious problems, allowing for quick action to keep this part of your body healthy and strong for years to come."
Endocrinology – Others,Cortisol (Morning),"إذا كان طبيبك يفحص مستويات طاقة جسمك أو كيفية تعامله مع الضغط، قد يفحص الكورتيزول (صباحاً) لديك. الكورتيزول هو هرمون غالبًا ما يسمى ""دفعة الصباح"" الطبيعية لجسمك أو ""مدير الاستيقاظ"". تكون مستوياته أعلى بشكل طبيعي في الساعات الأولى من الصباح، ليجهزك ليومك، تمامًا مثل صوت الأذان في الفجر الذي ينادي الجميع للاستيقاظ وبدء أنشطتهم. هذا الفحص، الذي يتم في الصباح الباكر، يساعد طبيبك على فهم ما إذا كان ""مدير"" جسمك الداخلي يستيقظ وينظم الطاقة كما ينبغي، مما يقدم دلائل مهمة حول صحتك العامة","If your doctor is checking your body's energy levels or how it handles stress, they might test your Cortisol (Morning). Cortisol is a hormone often called the body's natural ""morning boost"" or ""wake-up manager."" Its levels are naturally highest in the early hours, getting you ready for the day, much like the sound of the Adhan (call to prayer) at dawn signals everyone to rise and begin their activities. This test, taken first thing in the morning, helps your doctor understand if your body's internal ""manager"" is waking up and regulating energy as it should, providing important clues about your overall well-being."
Endocrinology – Others,Parathyroid Hormone (PTH),"إذا كان طبيبك قلقًا بشأن مستويات الكالسيوم لديك، صحة العظام، أو حصوات الكلى، قد يفحص هرمون الغدة الدرقية الجاردرقية (PTH). هرمون PTH هو ""مدير توازن الكالسيوم"" حيوي في جسمك. هو يعمل كمدير دقيق يشرف على توزيع مواد البناء الأساسية (مثل الأسمنت أو الرمل) لمشروع بناء كبير، ويضمن باستمرار توفر الكمية الصحيحة لبناء هياكل قوية (العظام)، والأعصاب، والعضلات. هذا الفحص يساعد طبيبك على معرفة ما إذا كان هذا ""المدير"" يحافظ على مستويات الكالسيوم متوازنة تمامًا في دمك، مما يضمن أن كل شيء يعمل بسلاسة.","If your doctor is concerned about your calcium levels, bone health, or kidney stones, they might test your Parathyroid Hormone (PTH). PTH is a vital ""calcium balance supervisor"" in your body. It acts like a diligent manager overseeing the distribution of essential building materials (like cement or sand) for a large construction project, constantly ensuring the right amount is available for strong structures (bones), nerves, and muscles. This test helps your doctor see if this ""supervisor"" is keeping calcium levels perfectly balanced in your blood, ensuring everything is working smoothly."
Endocrinology – Reproductive,Estradiol (E2),إذا كان طبيبك يفحص صحة المرأة، الخصوبة، أو الدورة الشهرية، قد يفحص مستويات الإستراديول (E2) لديك. الإستراديول هو هرمون أنثوي مهم يدير كل شيء من دورتك إلى صحة عظامك. تخيله مثل حيوية وثمار النخلة الصحية والناضجة. المستوى الجيد يعني أن النخلة مزدهرة وتنتج أفضل ما لديها. هذا الفحص يساعد طبيبك على معرفة ما إذا كانت 'حديقتك الداخلية' في جسمك تزدهر كما يجب، مما يعطي دلائل عن صحتك الإنجابية وعافيتك العامة.,"If your doctor is looking into female health, fertility, or menstrual cycles, they might test your Estradiol (E2) levels. Estradiol is a key female hormone that helps manage everything from your cycle to bone health. Think of it like the vibrancy and abundant fruit of a healthy, mature date palm tree. A good level suggests the tree is thriving and producing its best. This test helps your doctor see if your body's 'internal garden' is flourishing as it should, giving clues about your reproductive health and overall well-being."
Endocrinology – Reproductive,FSH (Follicle Stimulating Hormone),إذا كان طبيبك يبحث في الخصوبة أو الدورة الشهرية للنساء، أو إنتاج الحيوانات المنوية للرجال، قد يفحص مستويات الهرمون المنبه للجريب (FSH) لديك. FSH يشبه 'أذان الفجر' الهرموني. عند النساء، هو يعطي الإشارة للمبايض لتبدأ في تحضير البويضات للانطلاق، تمامًا كأول أذان للفجر ينادي الجميع للاستيقاظ وبدء يومهم. وعند الرجال، يساعد في تحفيز نمو الحيوانات المنوية. هذا الفحص يساعد طبيبك على فهم ما إذا كان جسمك يرسل 'إشارات اليقظة' الصحيحة للعمليات الإنجابية.,"If your doctor is looking into fertility or menstrual cycles for women, or sperm production for men, they might check your FSH (Follicle Stimulating Hormone) levels. FSH is like the 'early morning call' hormone. In women, it signals the ovaries to start preparing eggs for release, much like the first call to prayer (Adhan) at dawn signals everyone to awaken and begin their day. In men, it helps stimulate sperm growth. This test helps your doctor understand if your body is sending the right 'wake-up calls' for reproductive processes."
Endocrinology – Reproductive,LH (Luteinizing Hormone),إذا كان طبيبك يبحث في مشاكل الخصوبة، خاصة التبويض عند النساء، قد يفحص مستويات الهرمون اللوتيني (LH) لديك. LH يعمل كإشارة 'الانطلاق النهائية'. عند النساء، زيادة مفاجئة في LH هي المحفز الأساسي الذي يخبر البويضة الناضجة بالانطلاق من المبيض، تمامًا كإشارة المرور الخضراء في تقاطع طريق صحراوي مزدحم تسمح للسيارات بالعبور. وعند الرجال، يحفز إنتاج التستوستيرون. هذا الفحص يساعد طبيبك على تحديد ما إذا كانت إشارة 'الانطلاق' الحيوية هذه تحدث في الوقت المناسب، وهو أمر أساسي للحمل.,"If your doctor is investigating fertility issues, especially ovulation in women, they might test your LH (Luteinizing Hormone) levels. LH acts like the 'final go-ahead' signal. In women, a sudden surge in LH is the crucial trigger that tells a mature egg to be released from the ovary, like the green light on a busy desert highway intersection allowing vehicles to proceed. In men, it stimulates testosterone production. This test helps your doctor pinpoint if this vital 'go-ahead' signal is happening at the right time, which is key for conception"
Endocrinology – Reproductive,Progesterone,"إذا كان طبيبك يبحث في الخصوبة، الدورة الشهرية، أو بداية الحمل، قد يفحص مستويات البروجسترون لديك. تخيل البروجسترون كـ""هرمون تجهيز السرير"" في الجسم. عند النساء، بعد إطلاق البويضة، ينتج الجسم البروجسترون لتجهيز بطانة الرحم، ويجعلها سميكة وناعمة، تمامًا كفرش سجادة فخمة لضيف عزيز. إذا لم يحدث حمل، لا تكون هذه ""الفرشة"" ضرورية، وتنخفض المستويات، مما يؤدي إلى دورتك الشهرية. هذا الفحص يساعد طبيبك على معرفة ما إذا كان جسمك يجهز هذه ""الفرشة"" بشكل صحيح.","If your doctor is looking into fertility, menstrual cycles, or early pregnancy, they might test your Progesterone levels. Think of Progesterone as the body's ""comfort cushion"" hormone. In women, after an egg is released, the body makes progesterone to prepare the womb's lining, making it thick and soft, like laying out a plush carpet for a special guest. If you're not pregnant, this ""cushion"" isn't needed, and levels drop, leading to your period. This test helps your doctor see if your body is preparing this ""cushion"" correctly."
